Datetime,MEDIAN Babs(1/Mm),MEAN Babs(1/Mm)
2021-12-14 10:51:26+0200,-3.92421454203629,19.4226307230802
2021-12-14 10:51:31+0200,-6.3073782385031,64.7225076116342
2021-12-14 10:51:36+0200,-6.69906669838326,137.340074275278
2021-12-14 10:51:41+0200,63.9202105088512,231.087246053324
2021-12-14 10:51:45+0200,110.935657281394,313.465059732403
2021-12-14 10:51:50+0200,222.449887985058,416.547905271314
2021-12-14 10:51:56+0200,348.946582198726,535.849798347722
2021-12-14 10:52:00+0200,431.116203616057,613.094362292206
2021-12-14 10:52:05+0200,530.076281624567,706.934091988234
2021-12-14 10:52:10+0200,626.086247669515,797.925032673728
2021-12-14 10:52:16+0200,738.466240275795,902.211321718027
2021-12-14 10:52:20+0200,811.100227807221,968.335232201889
2021-12-14 10:52:25+0200,898.746297871124,1046.05008889511
2021-12-14 10:52:30+0200,982.167699493422,1115.70376917079
2021-12-14 10:52:36+0200,1070.8393215087,1187.37309902941
2021-12-14 10:52:40+0200,1132.71858450814,1227.24337936632
2021-12-14 10:52:45+0200,1196.40554622995,1271.38490943936
2021-12-14 10:52:50+0200,1239.80028288151,1309.08430327804
2021-12-14 10:52:56+0200,1293.33119674177,1348.11295903362
2021-12-14 10:53:00+0200,1311.55915606426,1372.08300599391
2021-12-14 10:53:05+0200,1363.87674183194,1400.44385667862
2021-12-14 10:53:10+0200,1386.47050308247,1428.38138627056
2021-12-14 10:53:16+0200,1420.17824866497,1454.11483257955
2021-12-14 10:53:21+0200,1444.17572328826,1465.9193227928
2021-12-14 10:53:25+0200,1466.48746209179,1469.76486346219
2021-12-14 10:53:30+0200,1486.14202985271,1468.26566308082
2021-12-14 10:53:35+0200,1439.77861770384,1465.26946310182
2021-12-14 10:53:41+0200,1466.57955436437,1464.45927130372
2021-12-14 10:53:45+0200,1481.7501932972,1463.53367912806
2021-12-14 10:53:50+0200,1474.12065002746,1460.724840128
2021-12-14 10:53:55+0200,1440.63378200232,1456.00432722665
2021-12-14 10:54:01+0200,1463.5574209911,1450.61170960475
2021-12-14 10:54:05+0200,1442.02405031746,1448.8650955858
2021-12-14 10:54:10+0200,1429.01423856839,1453.18767752721
2021-12-14 10:54:15+0200,1428.40221931686,1467.12598851424
2021-12-14 10:54:21+0200,1479.6138027512,1490.687261957
2021-12-14 10:54:25+0200,1485.17592385265,1505.52554491043
2021-12-14 10:54:30+0200,1509.34696577651,1517.03563877696
2021-12-14 10:54:35+0200,1517.43497390561,1521.67591019796
2021-12-14 10:54:41+0200,1535.69844016418,1522.12746563026
2021-12-14 10:54:46+0200,1493.64765786292,1524.800397169
2021-12-14 10:54:50+0200,1518.28419475097,1529.51640579314
2021-12-14 10:54:55+0200,1513.1491523684,1534.15065668766
2021-12-14 10:55:01+0200,1555.17659502186,1535.75554771576
2021-12-14 10:55:06+0200,1542.27006494619,1531.36733326877
2021-12-14 10:55:10+0200,1568.42111703978,1527.8017118828
2021-12-14 10:55:15+0200,1508.8604727091,1524.44874113446
2021-12-14 10:55:20+0200,1507.39137392539,1525.74178372779
2021-12-14 10:55:26+0200,1549.55179180061,1530.9773663947
2021-12-14 10:55:30+0200,1513.02579106639,1532.8679008076
2021-12-14 10:55:35+0200,1559.55038488105,1533.07628803518
2021-12-14 10:55:41+0200,1558.96501053034,1531.55572953379
2021-12-14 10:55:46+0200,1566.53490527927,1535.76260763957
2021-12-14 10:55:50+0200,1506.2488800173,1545.6430345015
2021-12-14 10:55:55+0200,1536.58122977865,1561.9720625501
2021-12-14 10:56:00+0200,1562.68946031617,1578.08188848317
2021-12-14 10:56:06+0200,1578.86582971305,1590.64697012481
2021-12-14 10:56:10+0200,1595.58183701971,1595.01507317488
2021-12-14 10:56:15+0200,1613.7080576275,1599.91911161195
2021-12-14 10:56:20+0200,1606.91581848103,1603.14083171682
2021-12-14 10:56:25+0200,1628.77681993544,1602.85845163276
2021-12-14 10:56:30+0200,1629.21282426934,1597.59128258645
2021-12-14 10:56:35+0200,1630.93328608444,1589.36528698296
2021-12-14 10:56:40+0200,1575.10152388235,1581.04783019023
2021-12-14 10:56:46+0200,1566.07506085951,1572.91085276743
2021-12-14 10:56:50+0200,1589.46528381696,1572.27603206017
2021-12-14 10:56:55+0200,1548.49507636101,1578.33552306843
2021-12-14 10:57:00+0200,1548.24326613053,1592.33602346314
2021-12-14 10:57:06+0200,1595.11973031489,1618.33878049592
2021-12-14 10:57:11+0200,1609.39362404087,1640.26262681307
2021-12-14 10:57:15+0200,1619.39073695579,1655.21214407049
2021-12-14 10:57:20+0200,1649.86846226868,1668.01151185274
2021-12-14 10:57:25+0200,1675.34186517192,1673.97125196586
2021-12-14 10:57:31+0200,1690.36215905211,1671.98819777393
2021-12-14 10:57:35+0200,1704.24998159909,1668.51689307298
2021-12-14 10:57:40+0200,1677.47674945103,1667.32233780869
2021-12-14 10:57:45+0200,1642.26762206141,1669.30341002283
2021-12-14 10:57:51+0200,1653.72043781708,1672.54687811424
2021-12-14 10:57:55+0200,1686.06710869251,1673.60707801785
2021-12-14 10:58:00+0200,1687.7861377414,1671.26088148783
2021-12-14 10:58:05+0200,1655.04106817854,1666.5730662405
2021-12-14 10:58:11+0200,1651.17517297456,1664.23966052187
2021-12-14 10:58:15+0200,1652.78031078306,1663.93314436309
2021-12-14 10:58:20+0200,1665.62217293316,1666.27124604399
2021-12-14 10:58:25+0200,1656.26341982249,1670.39396657871
2021-12-14 10:58:31+0200,1668.86897876387,1672.79250243053
2021-12-14 10:58:36+0200,1701.6386323202,1669.75343857097
2021-12-14 10:58:40+0200,1676.21640310425,1662.34440648814
2021-12-14 10:58:45+0200,1677.54953169023,1650.86036125656
2021-12-14 10:58:50+0200,1648.53988967129,1639.85388867542
2021-12-14 10:58:56+0200,1631.58290726279,1634.27170297349
2021-12-14 10:59:00+0200,1616.66957195806,1635.79659878222
2021-12-14 10:59:05+0200,1608.11240093699,1641.23226251546
2021-12-14 10:59:11+0200,1651.30438978014,1654.23148189782
2021-12-14 10:59:16+0200,1668.21854227307,1667.70650159713
2021-12-14 10:59:20+0200,1665.30242306064,1678.03937724913
2021-12-14 10:59:25+0200,1683.1773487409,1693.04512596624
2021-12-14 10:59:31+0200,1697.08999582858,1710.94610058349
2021-12-14 10:59:36+0200,1709.34847995244,1723.21110223489
2021-12-14 10:59:40+0200,1725.71360463222,1730.6335429282
2021-12-14 10:59:45+0200,1742.79773674384,1733.62717058458
2021-12-14 10:59:50+0200,1746.0808582574,1731.29567871225
2021-12-14 10:59:56+0200,1727.20602115253,1720.98855899783
2021-12-14 11:00:01+0200,1707.17914842497,1711.04743509877
2021-12-14 11:00:05+0200,1744.66230778605,1705.258247937
2021-12-14 11:00:10+0200,1691.82524899025,1701.22672849602
2021-12-14 11:00:16+0200,1681.74101628451,1704.55176879389
2021-12-14 11:00:21+0200,1689.31322320716,1712.38409627478
2021-12-14 11:00:25+0200,1729.94205764935,1717.942924492
2021-12-14 11:00:30+0200,1730.94051241112,1723.43358988566
2021-12-14 11:00:35+0200,1740.22765256887,1729.29930323741
2021-12-14 11:00:40+0200,1744.29634258583,1737.57569485914
2021-12-14 11:00:45+0200,1739.24981583194,1745.70731860744
2021-12-14 11:00:50+0200,1755.09351591071,1750.61731776041
2021-12-14 11:00:56+0200,1766.22650368776,1750.65819581314
2021-12-14 11:01:00+0200,1766.93814386708,1746.5021217735
2021-12-14 11:01:05+0200,1735.21890395036,1743.23157411325
2021-12-14 11:01:10+0200,1731.23950579657,1744.09736894235
2021-12-14 11:01:16+0200,1720.94023183815,1746.62260558464
2021-12-14 11:01:20+0200,1770.26274490943,1747.74817065172
2021-12-14 11:01:25+0200,1769.96212876106,1748.60309195926
2021-12-14 11:01:30+0200,1771.21288032168,1748.89299139042
2021-12-14 11:01:35+0200,1723.27442929183,1749.76933425252
2021-12-14 11:01:40+0200,1772.11648464824,1751.97125795072
2021-12-14 11:01:45+0200,1774.15632751286,1755.1737467342
2021-12-14 11:01:50+0200,1776.31109445485,1755.84507768636
2021-12-14 11:01:55+0200,1729.95429204192,1754.95631316112
2021-12-14 11:02:00+0200,1782.51687937388,1752.29984442859
2021-12-14 11:02:05+0200,1753.68411785276,1744.99032944643
2021-12-14 11:02:10+0200,1761.44808316404,1735.2597903486
2021-12-14 11:02:15+0200,1727.31913853427,1727.21352718947
2021-12-14 11:02:21+0200,1717.95110790124,1723.68557766562
2021-12-14 11:02:25+0200,1716.86200586958,1726.06666970931
2021-12-14 11:02:30+0200,1723.88887475219,1736.41489666453
2021-12-14 11:02:35+0200,1747.99395607745,1750.03935127125
2021-12-14 11:02:41+0200,1758.65146046255,1767.25913841815
2021-12-14 11:02:45+0200,1766.28978313566,1778.58245948465
2021-12-14 11:02:50+0200,1783.54302647217,1791.16414670875
2021-12-14 11:02:55+0200,1790.36947614951,1797.32139062168
2021-12-14 11:03:00+0200,1811.41048851825,1796.18959849668
2021-12-14 11:03:05+0200,1828.00429459835,1787.6356907282
2021-12-14 11:03:10+0200,1785.81536639864,1773.77467483085
2021-12-14 11:03:15+0200,1780.57619097685,1760.31756781635
2021-12-14 11:03:20+0200,1767.29328181054,1753.60474269592
2021-12-14 11:03:25+0200,1738.6397905569,1755.34705234447
2021-12-14 11:03:30+0200,1733.18121312205,1761.31710030575
2021-12-14 11:03:35+0200,1775.75534246754,1764.17440334532
2021-12-14 11:03:40+0200,1778.71526453336,1759.69419463613
2021-12-14 11:03:45+0200,1786.83209419195,1748.40219698329
2021-12-14 11:03:50+0200,1744.86602913619,1736.25919506572
2021-12-14 11:03:55+0200,1737.56624818111,1727.9571616749
2021-12-14 11:04:00+0200,1724.25271755131,1725.04092526488
2021-12-14 11:04:05+0200,1739.74219875187,1726.61604201128
2021-12-14 11:04:10+0200,1704.73393592701,1729.37528435531
2021-12-14 11:04:15+0200,1730.56640983197,1734.55105068733
2021-12-14 11:04:20+0200,1742.56428993483,1741.03987126529
2021-12-14 11:04:26+0200,1751.99147812977,1748.35206472102
2021-12-14 11:04:30+0200,1748.65149879163,1400.63132998514
2021-12-14 11:09:40+0200,1350.20721186443,1466.19259685827
2021-12-14 11:09:45+0200,1408.13713222355,1529.18467185378
