end;ComPAS_V6_SaveIndex;ComPAS_V6_FPGAIndex;ComPAS_V6_BKG_Meas_Active;ComPAS_V6_Frequency_1_Hz;ComPAS_V6_Amplitude_1_uPa;ComPAS_V6_Phase_1_deg;ComPAS_V6_X1;ComPAS_V6_Y1;ComPAS_V6_Frequency_2_Hz;ComPAS_V6_Amplitude_2_uPa;ComPAS_V6_Phase_2_deg;ComPAS_V6_X2;ComPAS_V6_Y2;ComPAS_V6_X_Blue_a_u;ComPAS_V6_Y_Blue_a_u;ComPAS_V6_X_Green_a_u;ComPAS_V6_Y_Green_a_u;ComPAS_V6_X_Red_a_u;ComPAS_V6_Y_Red_a_u;ComPAS_V6_X_BKG_Blue_a_u;ComPAS_V6_Y_BKG_Blue_a_u;ComPAS_V6_X_BKG_Green_a_u;ComPAS_V6_Y_BKG_Green_a_u;ComPAS_V6_X_BKG_Red_a_u;ComPAS_V6_Y_BKG_Red_a_u;ComPAS_V6_T_Mean_C;ComPAS_V6_R_H_Mean_percent;ComPAS_V6_Pressure_Mean_bar;ComPAS_V6_PD1_Mean_V;ComPAS_V6_PD2_Mean_V;ComPAS_V6_Laser_Red_On_per_Off;ComPAS_V6_Laser_Green_On_per_Off;ComPAS_V6_Laser_Blue_On_per_Off;ComPAS_V6_Speaker_On_per_Off;ComPAS_V6_Valve_Position;ComPAS_V6_Laser_Power_On_per_Off;ComPAS_V6_Flow_lpm;ComPAS_V6_Laser_Power_0_5V;ComPAS_V6_Modulation_Power_0_5V;ComPAS_V6_Duty_Cycle_On_Time;ComPAS_V6_Laser_Current_Blue_mA;ComPAS_V6_Laser_Current_Green_mA;ComPAS_V6_Laser_Current_Red_mA;ComPAS_V6_Laser_Voltage_Blue_V;ComPAS_V6_Laser_Voltage_Green_V;ComPAS_V6_Laser_Voltage_Red_V;ComPAS_V6_X1_BKG;ComPAS_V6_Y1_BKG;ComPAS_V6_X1_Subtracted;ComPAS_V6_Y1_Subtracted;ComPAS_V6_R1_BKG_uPa;ComPAS_V6_Theta1_BKG_deg;ComPAS_V6_R1_uPa;ComPAS_V6_Theta1_deg;ComPAS_V6_R2_uPa;ComPAS_V6_Theta2_deg;ComPAS_V6_R1_BKG_Subtracted_1_per_Mm;ComPAS_V6_Theta1_BKG_Subtracted_deg;ComPAS_V6_R1_Green_1_per_Mm;ComPAS_V6_Theta1_Green_deg;ComPAS_V6_R1_BKG_Green_1_per_Mm;ComPAS_V6_Theta1_BKG_Green_deg
2022-09-06 10:48:00;576.0;4792.0;1;25148.061797847;28.21093218;22.096141264;1388.152542373;-190.288135593;17425.383003458;221.528908414;26.070891713;2682.915254237;-46508.118644068;0.0;0.0;4.016949153;5.728813559;0.0;0.0;0.0;0.0;1025.237288136;-150.152542373;0.0;0.0;23.729033729;49.833937853;0.0;0.0;0.0;0.0;0.220338983;0.186440678;0.220338983;0.220338983;0.220338983;1.3;100.0;100.0;50.0;0.0;161.716042835;0.0;0.0;6.01795963;0.0;5598.233333333;-1720.033333333;-4210.08079096;1529.74519774;86.03579292248648;-17.079352381496665;0;0;684.3690046378962;-86.69843568896533;24.9743771692556;127.45369195247048;0.03416321167655936;54.96249794134924;1036.174349694845;-8.332096437233325
2022-09-06 10:49:00;641.089898054;4857.089898054;1;24945.322521811;91.323571692;-15.853261183;5987.890639481;-1655.474513438;17143.093488864;983.982170197;91.515227682;5600.971269694;-211735.279888786;0.0;0.0;3.37865431;-0.527526245;0.0;0.0;0.0;0.0;5885.480474513;-1654.145487488;0.0;0.0;23.752564405;49.835274637;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.3;100.0;100.0;50.0;0.0;749.924895846;0.0;0.0;6.017012166;0.0;5598.233333333;-1720.033333333;389.657306148;64.558819895;86.03579292248648;-17.079352381496665;0;0;3111.6107327686104;-88.48472491575386;21.43572512030816;92.20152818619484;0.016696800309496614;-8.874227952984668;6113.515985883302;-15.698299612736703
2022-09-06 10:50:00;689.759226714;4905.759226714;1;24945.502103234;77.34853587;-17.442008705;5024.087873462;-1573.246045694;17143.204784784;985.196152594;91.571412171;5816.068541301;-211990.235500879;0.0;0.0;-64.281842627;17.354946477;0.0;0.0;0.0;0.0;5897.794065026;-1748.336572935;0.0;0.0;23.770796076;49.818935559;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.3;100.0;100.0;50.0;0.0;745.479803914;0.0;0.0;6.016203227;0.0;5598.233333333;-1720.033333333;-574.145459871;146.787287639;86.03579292248648;-17.079352381496665;0;0;3115.4399407030646;-88.42845304770415;17.897073071360715;56.94936441991919;0.32510625510791524;164.8913811124356;6151.475888412309;-16.511881084945834
2022-09-06 10:51:00;750.5;4966.5;1;24945.494287817;86.178687498;-17.156155571;5606.333333333;-1717.95;17143.256964167;984.591791239;91.078195331;3989.433333333;-211898.316666667;0.0;0.0;-7.939369697;0.551537879;0.0;0.0;0.0;0.0;5587.809066667;-1724.739416667;0.0;0.0;23.769938289;49.822416667;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.3;100.0;100.0;50.0;0.0;743.607023485;0.0;0.0;6.015665303;0.0;5601.291111111;-1733.812777778;5.042222222;15.862777778;86.13837368022483;-17.199286265878882;0;0;3113.469400854483;-88.92141337053047;14.358421022413273;21.697200653643534;0.03885892473086626;176.0261196451025;5847.934355046297;-17.153423351934887
2022-09-06 10:52:00;808.5;5024.5;1;24945.542887155;84.376544904;-18.130086906;5462.137931034;-1765.568965517;17143.290122069;985.181943157;91.062680984;3934.034482759;-212027.655172414;0.0;0.0;8.622183386;-0.995296238;0.0;0.0;0.0;0.0;5447.246155172;-1744.88087931;0.0;0.0;23.786078667;49.817281609;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.3;100.0;100.0;50.0;0.0;742.765224138;0.0;0.0;6.015166771;0.0;5451.065517241;-1737.50862069;11.072413793;-28.060344828;84.04916157506919;-17.67950433612498;0;0;3115.353923299567;-88.93703624941867;10.81976897346583;-13.554963112632123;0.04237902848961707;-6.58475746015499;5719.886358837715;-17.761482819320154
2022-09-06 10:53:00;866.0;5082.0;1;24945.61825078;88.048536608;-17.602596946;5714.559322034;-1796.949152542;17143.339780119;985.517544399;91.057271928;3916.406779661;-212096.779661017;0.0;0.0;5.297334361;-1.220342065;0.0;0.0;0.0;0.0;5697.842881356;-1780.844372881;0.0;0.0;23.80074565;49.80940678;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.3;100.0;100.0;50.0;0.0;742.321812943;0.0;0.0;6.014859168;0.0;5703.490960452;-1792.735028249;11.068361582;-4.214124294;87.82940500629276;-17.44910194348748;0;0;3116.3644385109096;-88.94214291422897;7.281116924518386;-48.80712687890775;0.026542714227593647;-12.972847385867185;5969.658296840881;-17.356484096014988
2022-09-06 10:54:00;935.203866432;5151.203866432;1;24945.632681174;86.471470572;-17.132658399;5625.762741652;-1730.087873462;17143.351595533;986.445619665;91.090215565;4040.282952548;-212301.379613357;0.0;0.0;77.536906215;-26.070271928;0.0;0.0;0.0;0.0;5441.484822496;-1781.879240773;0.0;0.0;23.81304488;49.798705917;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.975395431;1.0;1.3;100.0;100.0;50.0;0.0;742.090572871;0.0;0.0;6.014407733;0.0;5496.440304628;-1790.531927358;129.322437024;60.444053896;84.92253746426331;-18.043646273190166;0;0;3119.4037227961385;-88.90974226838819;3.7424648755709455;-84.05929064518341;0.3994158837179906;-18.584214088371667;5725.805681487286;-18.131652577928893
2022-09-06 10:55:00;982.0;5198.0;0;24945.645040797;84.823439408;-18.620910821;5473.898305085;-1827.86440678;17143.361137847;986.817538427;91.031486965;3825.118644068;-212381.169491525;0.0;0.0;52.678238829;-24.901841294;0.0;0.0;0.0;0.0;5442.727;-1793.545;0.0;0.0;23.772000588;49.777372881;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.3;100.0;100.0;50.0;0.0;741.953287365;0.0;0.0;6.014257935;0.0;5494.333333333;-1791.466666667;-20.435028249;-36.397740113;84.89736333494685;-18.05892826413393;84.77983791298448;-18.46538669075166;3120.51715261733;-88.96817847838118;0.203812826623502;-119.31145441145905;0.2845021382767158;-25.300846224023346;5730.626568147151;-18.238632223753616
2022-09-06 10:56:00;1031.485061511;5247.485061511;0;24945.661194501;74.006662477;-19.455646172;4749.541300527;-1677.233743409;17143.368171923;986.882694413;90.921681843;3418.778558875;-212404.360281195;0.0;0.0;102.641749002;-26.446212654;0.0;0.0;0.0;0.0;5442.727;-1793.545;0.0;0.0;23.789502554;49.806478032;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.3;100.0;100.0;50.0;0.0;741.803083016;0.0;0.0;6.014120371;0.0;5494.333333333;-1791.466666667;-744.792032806;114.232923257;84.89736333494685;-18.05892826413393;73.99648990210109;-19.449957387010627;3120.756008480691;-89.0778688851689;3.679115277831331;171.28017710176852;0.5175361346443549;-14.448321062847311;5730.626568147151;-18.238632223753616
2022-09-06 10:57:00;1098.5;5314.5;0;24945.91712695;86.296842567;-18.595848659;5569.133333333;-1861.616666667;17143.545289083;987.688209247;91.043663458;3873.183333333;-212568.566666667;0.0;0.0;117.368454545;-64.273181818;0.0;0.0;0.0;0.0;5442.727;-1793.545;0.0;0.0;23.828463833;49.779816667;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.3;100.0;100.0;50.0;0.0;741.881564394;0.0;0.0;6.013900152;0.0;5494.333333333;-1791.466666667;74.8;-70.15;84.89736333494685;-18.05892826413393;86.26392216762328;-18.48344349925423;3123.2824712156676;-88.9561367993709;0.5007096042742699;-43.16257995279271;0.6533763871857782;-28.70594522755027;5730.626568147151;-18.238632223753616
