AETHALOMETER
Serial number = AE33-S02-00176
Application version = 1.4.2.0
Number of channels = 7

Date(yyyy/MM/dd); Time(hh:mm:ss); Timebase; RefCh1; Sen1Ch1; Sen2Ch1; RefCh2; Sen1Ch2; Sen2Ch2; RefCh3; Sen1Ch3; Sen2Ch3; RefCh4; Sen1Ch4; Sen2Ch4; RefCh5; Sen1Ch5; Sen2Ch5; RefCh6; Sen1Ch6; Sen2Ch6; RefCh7; Sen1Ch7; Sen2Ch7; Flow1; Flow2; FlowC; Pressure(Pa); Temperature(°C); BB(%); ContTemp; SupplyTemp; Status; ContStatus; DetectStatus; LedStatus; ValveStatus; LedTemp; BC11; BC12; BC1; BC21; BC22; BC2; BC31; BC32; BC3; BC41; BC42; BC4; BC51; BC52; BC5; BC61; BC62; BC6; BC71; BC72; BC7; K1; K2; K3; K4; K5; K6; K7; TapeAdvCount;


2021/12/14 10:28:00 60 909998 477226 548797 908413 470604 548085 908737 487680 583179 901504 541655 639363 906959 604623 706661 836621 845701 912870 870445 851343 917953 1362 637 1999 101325 21.11 100.0 25 32 0 0 10 10 00000 26 108096 104837 118777 139976 138153 155793 162058 159239 180288 176773 174120 197086 152690 149195 169313 85152 79182 89991 70365 64962 73712 0.004039184 0.00444791 0.004214862 0.00447507 0.005561962 0.00758793 0.008410877 1994 7 0 0
2021/12/14 10:29:00 60 910232 454973 536924 908575 448374 535888 908722 463443 569427 901232 515607 624649 906959 582079 694314 836700 832180 906503 870557 840894 913099 1362 638 2000 101325 21.11 100.0 25 33 0 0 10 10 00000 27 108868 107126 122231 139902 139491 159547 162432 162270 185128 177164 177441 202471 153771 152276 174603 87387 81629 93569 72688 67533 76993 0.004039184 0.00444791 0.004214862 0.00447507 0.005561962 0.00758793 0.008410877 1994 7 0 0
2021/12/14 10:30:00 60 910500 433825 525172 908703 427296 523805 908741 440550 555884 901004 490975 610184 906956 560436 682028 836778 818644 900021 870700 830391 908181 1362 637 1999 101325 21.11 100.0 25 33 0 0 10 10 00000 26 108600 108730 124749 139107 141330 162846 161543 164193 188973 176137 179232 206769 153321 154449 178582 88902 83784 96451 74174 69312 79432 0.004063643 0.004483784 0.00424996 0.004516545 0.005604088 0.007557389 0.008356576 1994 7 0 0
2021/12/14 10:31:00 60 910811 413806 513605 909016 407470 512018 908750 419024 542595 900799 467746 595972 906900 539682 669820 836847 805157 893469 870779 819813 903138 1362 638 2000 101325 21.11 100.0 25 33 0 0 10 10 00000 26 107907 109468 127121 137847 142077 166164 159711 164715 192360 174479 180210 211103 152453 155500 182654 89990 85027 98898 75210 70374 81386 0.004128122 0.004569195 0.004333688 0.004611091 0.005700086 0.007489263 0.00823755 1994 7 0 0
2021/12/14 10:32:00 60 911065 394913 502236 909033 388798 500423 908761 398864 529649 900613 445975 582117 906934 520014 657897 836928 791847 886866 870881 809317 898074 1362 638 2000 101325 21.11 100.0 25 34 0 0 10 10 00000 26 106604 109712 128919 135174 140974 167879 157206 164405 195104 171643 180028 214201 150383 155484 185447 90375 86473 100654 75744 71381 82838 0.004189686 0.004639567 0.004404939 0.004689262 0.005777951 0.007452421 0.008146807 1994 7 0 0
2021/12/14 10:33:00 60 911216 377104 491079 909285 371323 489139 908772 380004 517030 900333 425520 568571 906835 501272 646068 836913 778644 880167 870924 798832 892900 1362 637 1999 101325 21.11 100.0 25 34 0 0 10 10 00000 26 105015 109727 130470 133269 142178 170719 154436 164424 197653 168691 179681 217264 148101 156042 188120 90539 87182 102209 76249 72580 84315 0.004246381 0.004705797 0.004467535 0.004753246 0.005846901 0.007422301 0.008092856 1994 7 0 0
2021/12/14 10:34:00 60 911490 360406 480267 909443 354915 478165 908777 362375 504790 900107 406387 555429 906853 483547 634595 836982 765713 873544 871037 788521 887800 1362 638 2000 101325 21.11 100.0 25 35 0 0 10 10 00000 26 103383 109229 132009 130685 140604 172692 151430 163065 199914 165490 178628 220044 145763 154961 190733 90715 87866 103810 76435 72846 85439 0.004293675 0.004755299 0.004516917 0.004803803 0.00589636 0.007391932 0.008024395 1994 7 0 0
2021/12/14 10:35:00 60 911736 344702 469738 909666 339558 467553 908807 345905 492950 899921 388489 542727 906792 466695 623338 837051 753028 866952 871098 778284 882639 1362 637 1999 101325 21.11 100.0 25 35 0 0 10 10 00000 27 101638 108787 133430 128124 139739 174688 148372 161984 202099 162160 177310 222624 143275 154280 193151 90491 88254 104973 76530 73489 86485 0.004333232 0.004794085 0.004556187 0.004841872 0.005932592 0.007359922 0.007968201 1994 7 0 0
2021/12/14 10:36:00 60 911866 329932 459464 909764 325152 457208 908793 330510 481493 899668 371693 530382 906752 450745 612360 837044 740550 860304 871163 768197 877488 1362 637 1999 101325 21.11 99.7 25 35 0 0 10 10 00000 27 99632 107915 134490 125189 138468 176127 145068 160164 203849 158837 175763 225132 140543 153360 195214 90025 88624 105883 76427 73830 87319 0.004364865 0.004824513 0.004584434 0.004868526 0.005958757 0.007336865 0.007915513 1994 7 0 0
2021/12/14 10:37:00 60 912070 316076 449520 909984 311652 447220 908775 316089 470381 899467 355989 518460 906717 435636 601672 837097 728368 853750 871216 758238 872327 1362 638 2000 101325 21.11 100.0 25 36 0 0 10 10 00000 27 97798 107005 135732 122849 137314 178318 142140 158744 206032 155327 173816 227239 137815 151780 197158 89751 88730 107000 76367 74114 88198 0.00438788 0.004844454 0.004603832 0.004885248 0.005971428 0.007301435 0.007858181 1994 7 0 0
