end;AE33_BB;AE33_BC1;AE33_BC2;AE33_BC3;AE33_BC4;AE33_BC5;AE33_BC6;AE33_BC7;AE33_BB_VH;AE33_BC1_VH;AE33_BC2_VH;AE33_BC3_VH;AE33_BC4_VH;AE33_BC5_VH;AE33_BC6_VH;AE33_BC7_VH;PMS1_Concentration_ug_per_m3;ComPAS_V4_BKG_Meas_Active;ComPAS_V4_Frequency_1_Hz;ComPAS_V4_Amplitude_1_uPa;ComPAS_V4_Phase_1_deg;ComPAS_V4_Integration_Time_1_us;ComPAS_V4_X1;ComPAS_V4_Y1;ComPAS_V4_Frequency_2_Hz;ComPAS_V4_Amplitude_2_uPa;ComPAS_V4_Phase_2_deg;ComPAS_V4_Integration_Time_2_us;ComPAS_V4_X2;ComPAS_V4_Y2;ComPAS_V4_Blue_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Blue_P_Mov_Avg_deg;ComPAS_V4_Green_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Green_P_Mov_Avg_deg;ComPAS_V4_Red_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Red_P_Mov_Avg_deg;ComPAS_V4_T_Mean_C;ComPAS_V4_R_H_Mean_percent;ComPAS_V4_Pressure_Mean_bar;ComPAS_V4_PD1_Mean_V;ComPAS_V4_Laser_Red_On_per_Off;ComPAS_V4_Laser_Green_On_per_Off;ComPAS_V4_Laser_Blue_On_per_Off;ComPAS_V4_X1_VH;ComPAS_V4_Y1_VH;ComPAS_V4_Amplitude_1_VH_uPa;ComPAS_V4_Phase_1_VH_deg;ComPAS_V4_X2_VH;ComPAS_V4_Y2_VH;ComPAS_V4_Amplitude_2_VH_uPa;ComPAS_V4_Phase_2_VH_deg;ComPAS_V4_Blue_A_Mov_Avg_VH_uPa;ComPAS_V4_Blue_P_Mov_Avg_VH_deg;ComPAS_V4_Green_A_Mov_Avg_VH_uPa;ComPAS_V4_Green_P_Mov_Avg_VH_deg;ComPAS_V4_Red_A_Mov_Avg_VH_uPa;ComPAS_V4_Red_P_Mov_Avg_VH_deg;ComPAS_V4_R1_uPa;ComPAS_V4_Theta1_deg;ComPAS_V4_R2_uPa;ComPAS_V4_Theta2_deg;ComPAS_V4_R1_VH_uPa;ComPAS_V4_Theta1_VH_deg;ComPAS_V4_R2_VH_uPa;ComPAS_V4_Theta2_VH_deg;SMPS3080_Export_Mass_Equivalent_diameter_nm;SMPS3080_Export_Median_nm;SMPS3080_Export_Mean_nm;SMPS3080_Export_Geo_Mean_nm;SMPS3080_Export_Mode_nm;SMPS3080_Export_Geo_Std_Dev;SMPS3080_Export_Total_Conc_1_per_cm3;MSPTI_Metas_Export_MEDIAN_Babs_1_per_Mm;MSPTI_Metas_Export_MEAN_Babs_1_per_Mm
2021-12-14 12:45:00;91.683333333;94366.333333333;123593.0;142788.5;157961.666666667;137982.166666667;77138.333333333;63858.833333333;91.683333333;94366.333333333;123593.0;142788.5;157961.666666667;137982.166666667;77138.333333333;63858.833333333;212.534496667;0.0;27990.827944668;299.559492754;8.52053186;999981.848387097;63611.970967742;9518.125806452;17162.782959503;3000.696900439;27.695039931;999973.235483871;-570587.793548387;-299468.077419355;645.047864480206;11.306386007;562.6666665495221;10.46008478;0.0;0.0;22.233272043;1.913030108;0.0;0.389748014;0.0;0.496774194;0.503225806;63611.970967742;9518.125806452;299.559492754;8.52053186;-570587.793548387;-299468.077419355;3000.696900439;27.695039931;294.66779237;11.306386007;274.900922526;10.46008478;0.0;0.0;299.5138891050544;8.509914006822589;3000.722056375415;-152.30765280397887;299.5138891050544;8.509914006822589;3000.722056375415;-152.30765280397887;283.7355882;70.3713;85.607;71.2957;68.539;1.79614;109197.0;726.313882082;723.654881117
2021-12-14 12:50:00;94.233333333;93978.5;123430.5;142356.833333333;157649.333333333;137375.166666667;76092.666666667;62929.666666667;94.233333333;93978.5;123430.5;142356.833333333;157649.333333333;137375.166666667;76092.666666667;62929.666666667;209.05145515;0.0;27991.903660385;296.720804864;8.565830531;999980.584717608;63000.571428571;9481.096345515;17163.442601508;2996.327694282;27.673800793;999973.511627907;-569840.156146179;-298844.993355482;639.8599205664418;11.304512588;557.6367339967907;10.805521352;0.0;0.0;22.23517608;1.899550388;0.0;0.393310287;0.0;0.50166113;0.49833887;63000.571428571;9481.096345515;296.720804864;8.565830531;-569840.156146179;-298844.993355482;2996.327694282;27.673800793;292.297859743;11.304512588;272.443458487;10.805521352;0.0;0.0;296.6727728231178;8.558345595926143;2996.291152495378;-152.32584185629182;296.6727728231178;8.558345595926143;2996.291152495378;-152.32584185629182;285.2732259;70.5243;85.2289;71.3288;61.5265;1.78918;109852.0;709.21755838;729.737750955
2021-12-14 12:55:00;92.883333333;94563.0;124123.0;143072.166666667;158689.333333333;138722.166666667;77114.5;63742.666666667;92.883333333;94563.0;124123.0;143072.166666667;158689.333333333;138722.166666667;77114.5;63742.666666667;210.491706667;0.0;27992.849347117;300.662389005;8.825851894;999985.185667752;63810.439739414;9916.146579805;17164.021697042;2991.916427586;27.640230051;999975.185667752;-569151.768729642;-298067.745928339;644.5658118055799;11.510046085;561.0207315725172;10.819084657;0.0;0.0;22.230479913;1.8937481;0.0;0.390399173;0.0;0.495114007;0.504885993;63810.439739414;9916.146579805;300.662389005;8.825851894;-569151.768729642;-298067.745928339;2991.916427586;27.640230051;294.447583289;11.510046085;274.096771382;10.819084657;0.0;0.0;300.7069618749103;8.83311596847671;2991.771820235202;-152.35871482139652;300.7069618749103;8.83311596847671;2991.771820235202;-152.35871482139652;287.62194985;70.75795;85.56425;71.53925;64.94865;1.79084;110179.0;741.398378972;740.347138931
2021-12-14 13:00:00;73.116666667;79362.666666667;103898.666666667;119965.166666667;133218.666666667;117218.833333333;66036.666666667;54826.0;87.633333333;95229.166666667;124804.666666667;143913.666666667;159858.0;140712.833333333;79348.5;65893.5;217.243232558;0.0;27993.671023323;307.627717934;9.341475916;999977.867088608;65189.670886076;10722.186708861;17164.524834396;2988.891094551;27.669015546;999968.67721519;-568445.75;-298040.405063291;659.3185923643379;12.003998504;575.6520814211675;11.32183562;0.0;0.0;22.235966245;1.890080169;0.0;0.386687351;0.0;0.484177215;0.515822785;65189.670886076;10722.186708861;307.627717934;9.341475916;-568445.75;-298040.405063291;2988.891094551;27.669015546;301.186880507;12.003998504;281.245180574;11.32183562;0.0;0.0;307.6417463240011;9.340198493321324;2988.800653649377;-152.33163751485426;307.6417463240011;9.340198493321324;2988.800653649377;-152.33163751485426;278.9785883;70.964;85.8112;71.8243;66.1169;1.78892;110439.0;766.404226947;764.968324151
2021-12-14 13:05:00;33.333333333;35881.666666667;46352.166666667;54239.166666667;59141.333333333;50901.333333333;26556.5;21797.0;91.4;99347.666666667;129976.166666667;150033.166666667;165698.666666667;144877.333333333;79803.833333333;66067.0;217.070724252;0.0;27954.959631117;211.623319209;-18.257397153;1000219.895973154;40549.976510067;1746.758389262;17097.392607527;1982.504387848;-19.398567254;999574.432885906;-346782.765100671;-112238.161073826;670.934048602354;12.422690029;531.4397690559902;8.204702507;0.0;0.0;22.23911745;1.889252796;0.0;0.504050379;0.0;0.765100671;0.218120805;40549.976510067;1746.758389262;211.623319209;-18.257397153;-346782.765100671;-112238.161073826;1982.504387848;-19.398567254;306.492999689;12.422690029;259.644459972;8.204702507;0.0;0.0;189.00065380117468;2.466587085302613;1697.30627041212;-162.0655389132081;189.00065380117468;2.466587085302613;1697.30627041212;-162.0655389132081;284.9301179;71.2199;85.7978;71.7797;63.7804;1.79276;110180.0;773.0567683;761.468002753
2021-12-14 13:10:00;99.566666667;103392.0;133503.166666667;155466.833333333;169817.333333333;147020.833333333;79054.333333333;65087.166666667;99.566666667;103392.0;133503.166666667;155466.833333333;169817.333333333;147020.833333333;79054.333333333;65087.166666667;219.19507;0.0;28055.228433518;183.277921627;9.694996392;1000217.033222591;37106.401993355;-3581.548172757;17197.94081291;2159.728197472;40.976675979;999576.554817276;-372742.677740864;-222654.667774086;663.7136249397249;6.688060033;497.84678540090397;-1.508863445;0.0;0.0;22.234977852;1.878629014;0.0;0.315702643;0.0;0.441860465;0.265780731;37106.401993355;-3581.548172757;183.277921627;9.694996392;-372742.677740864;-222654.667774086;2159.728197472;40.976675979;303.194599031;6.688060033;243.232003457;-1.508863445;0.0;0.0;173.59316648815346;-5.513169234771358;2021.8078152132784;-149.14837572996421;173.59316648815346;-5.513169234771358;2021.8078152132784;-149.14837572996421;288.3819768;71.1306;86.4375;72.0646;68.539;1.79623;110140.0;775.450947851;772.375596289
2021-12-14 13:15:00;95.05;99067.0;127792.833333333;148412.166666667;162651.0;141610.666666667;78443.5;64876.166666667;95.05;99067.0;127792.833333333;148412.166666667;162651.0;141610.666666667;78443.5;64876.166666667;216.774933555;0.0;27990.189949385;304.777139134;-7.967799933;999987.146179402;64809.916943522;-9056.07641196;17165.278390691;2984.494384751;26.836665274;999983.066445183;-571884.342192691;-289323.704318937;649.2661331229275;-6.470458373;566.9847328628498;-6.316479607;0.0;0.0;22.239787375;1.877644518;0.0;0.391282048;0.0;0.49833887;0.50166113;64809.916943522;-9056.07641196;304.777139134;-7.967799933;-571884.342192691;-289323.704318937;2984.494384751;26.836665274;296.594762409;-6.470458373;277.010591507;-6.316479607;0.0;0.0;304.7267630139005;-7.954599260267689;2984.4489717275146;-153.1645599140572;304.7267630139005;-7.954599260267689;2984.4489717275146;-153.1645599140572;289.4744176;71.2001;86.1561;72.0369;66.1169;1.79174;111219.5;762.874091502;762.473017022
2021-12-14 13:20:00;91.983333333;100531.166666667;129950.666666667;150785.0;165890.666666667;144747.333333333;81010.333333333;67074.5;91.983333333;100531.166666667;129950.666666667;150785.0;165890.666666667;144747.333333333;81010.333333333;67074.5;215.121023333;0.0;27990.66478642;313.13642731;-7.781310161;999975.58;66662.826666667;-9101.18;17165.571235783;2981.95628328;26.847604606;999966.246666667;-571352.42;-289183.613333333;657.0788007300072;-6.507887601;572.9976584983523;-6.24518699;0.0;0.0;22.242376667;1.880271111;0.0;0.39372773;0.0;0.503333333;0.496666667;66662.826666667;-9101.18;313.13642731;-7.781310161;-571352.42;-289183.613333333;2981.95628328;26.847604606;300.163709216;-6.507887601;279.948314501;-6.24518699;0.0;0.0;313.3026426435554;-7.77427421282147;2981.944325731865;-153.15425963945452;313.3026426435554;-7.77427421282147;2981.944325731865;-153.15425963945452;293.6572964;73.8725;89.1843;74.4829;68.539;1.79816;119159.0;784.280521541;785.212550369
2021-12-14 13:25:00;89.9;148678.5;193865.333333333;223908.333333333;247684.166666667;216986.333333333;122044.333333333;101097.0;89.9;148678.5;193865.333333333;223908.333333333;247684.166666667;216986.333333333;122044.333333333;101097.0;276.563767442;0.0;27991.369384508;473.812840719;-6.69185449;999985.42192691;101203.843853821;-11790.528239203;17166.002252458;2973.918611797;26.871895663;999974.976744186;-569680.079734219;-288668.126245847;946.619783050466;-5.961921691;811.031698995362;-5.86237396;0.0;0.0;22.246397564;2.144199336;0.0;0.394407339;0.0;0.504983389;0.495016611;101203.843853821;-11790.528239203;473.812840719;-6.69185449;-569680.079734219;-288668.126245847;2973.918611797;26.871895663;432.43048624;-5.961921691;396.244127307;-5.86237396;0.0;0.0;474.4545725476079;-6.645160437394194;2973.9124819751455;-153.12776850467984;474.4545725476079;-6.645160437394194;2973.9124819751455;-153.12776850467984;293.7576271;71.8404;86.9665;72.5367;68.539;1.79913;186205.0;1324.031982298;1323.959230824
2021-12-14 13:30:00;90.116666667;198563.833333333;260336.666666667;299785.333333333;332915.833333333;292265.0;164000.833333333;135634.333333333;90.116666667;198563.833333333;260336.666666667;299785.333333333;332915.833333333;292265.0;164000.833333333;135634.333333333;362.397903333;0.0;27992.112640336;604.495618984;-6.153190423;999987.794019934;129134.647840532;-13888.126245847;17166.457882306;2966.428374724;26.872988873;999972.674418605;-568258.129568106;-287939.53820598;1303.5623832684196;-5.319291028;1104.0219159367168;-5.371591821;0.0;0.0;22.247883721;2.398640089;0.0;0.394252742;0.0;0.504983389;0.495016611;129134.647840532;-13888.126245847;604.495618984;-6.153190423;-568258.129568106;-287939.53820598;2966.428374724;26.872988873;595.487359692;-5.319291028;539.389768797;-5.371591821;0.0;0.0;604.7977055682197;-6.13843155121204;2966.4724866652214;-153.1284149699042;604.7977055682197;-6.13843155121204;2966.4724866652214;-153.1284149699042;296.0653505;73.31;88.705;74.1057;73.6525;1.79399;213458.0;1460.368795207;1460.39015794
2021-12-14 13:35:00;44.816666667;109091.833333333;143139.5;164658.0;183081.166666667;161182.0;90404.833333333;74777.166666667;89.366666667;219731.333333333;288201.5;331531.0;368553.166666667;324785.0;182281.833333333;150780.666666667;404.966503333;0.0;27992.685969315;663.0437244;-5.600546506;999974.97704918;141751.57704918;-13835.147540984;17166.808517587;2961.808673646;26.968744334;999952.180327869;-566866.580327869;-288452.170491803;1469.4461877317044;-4.801251889;1238.1945040240937;-5.255513946;0.0;0.0;22.249459016;2.525239344;0.0;0.395159191;0.0;0.508196721;0.491803279;141751.57704918;-13835.147540984;663.0437244;-5.600546506;-566866.580327869;-288452.170491803;2961.808673646;26.968744334;671.265634674;-4.801251889;604.942200522;-5.255513946;0.0;0.0;663.2187469029232;-5.574490170035942;2961.7755531232947;-153.03056286905846;663.2187469029232;-5.574490170035942;2961.7755531232947;-153.03056286905846;290.9515458;74.47855;89.8639;75.23105;69.79435;1.790665;226975.5;1590.425939465;1591.080017181
