end;AE33_BB;AE33_BC1;AE33_BC2;AE33_BC3;AE33_BC4;AE33_BC5;AE33_BC6;AE33_BC7;AE33_BB_VH;AE33_BC1_VH;AE33_BC2_VH;AE33_BC3_VH;AE33_BC4_VH;AE33_BC5_VH;AE33_BC6_VH;AE33_BC7_VH;PMS1_Concentration_ug_per_m3;ComPAS_V4_BKG_Meas_Active;ComPAS_V4_Frequency_1_Hz;ComPAS_V4_Amplitude_1_uPa;ComPAS_V4_Phase_1_deg;ComPAS_V4_Integration_Time_1_us;ComPAS_V4_X1;ComPAS_V4_Y1;ComPAS_V4_Frequency_2_Hz;ComPAS_V4_Amplitude_2_uPa;ComPAS_V4_Phase_2_deg;ComPAS_V4_Integration_Time_2_us;ComPAS_V4_X2;ComPAS_V4_Y2;ComPAS_V4_Blue_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Blue_P_Mov_Avg_deg;ComPAS_V4_Green_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Green_P_Mov_Avg_deg;ComPAS_V4_Red_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Red_P_Mov_Avg_deg;ComPAS_V4_T_Mean_C;ComPAS_V4_R_H_Mean_percent;ComPAS_V4_Pressure_Mean_bar;ComPAS_V4_PD1_Mean_V;ComPAS_V4_Laser_Red_On_per_Off;ComPAS_V4_Laser_Green_On_per_Off;ComPAS_V4_Laser_Blue_On_per_Off;ComPAS_V4_X1_VH;ComPAS_V4_Y1_VH;ComPAS_V4_Amplitude_1_VH_uPa;ComPAS_V4_Phase_1_VH_deg;ComPAS_V4_X2_VH;ComPAS_V4_Y2_VH;ComPAS_V4_Amplitude_2_VH_uPa;ComPAS_V4_Phase_2_VH_deg;ComPAS_V4_Blue_A_Mov_Avg_VH_uPa;ComPAS_V4_Blue_P_Mov_Avg_VH_deg;ComPAS_V4_Green_A_Mov_Avg_VH_uPa;ComPAS_V4_Green_P_Mov_Avg_VH_deg;ComPAS_V4_Red_A_Mov_Avg_VH_uPa;ComPAS_V4_Red_P_Mov_Avg_VH_deg;ComPAS_V4_R1_uPa;ComPAS_V4_Theta1_deg;ComPAS_V4_R2_uPa;ComPAS_V4_Theta2_deg;ComPAS_V4_R1_VH_uPa;ComPAS_V4_Theta1_VH_deg;ComPAS_V4_R2_VH_uPa;ComPAS_V4_Theta2_VH_deg;SMPS3080_Export_SMPS_Mass_conc_ug_per_m3;SMPS3080_Export_Mass_Equivalent_diameter_nm;SMPS3080_Export_Median_nm;SMPS3080_Export_Mean_nm;SMPS3080_Export_Geo_Mean_nm;SMPS3080_Export_Mode_nm;SMPS3080_Export_Geo_Std_Dev;SMPS3080_Export_Total_Conc_1_per_cm3;MSPTI_Metas_Export_MEDIAN_Babs_1_per_Mm;MSPTI_Metas_Export_MEAN_Babs_1_per_Mm
2021-12-14 15:57:20;100.0;58938.0;76409.0;89125.0;96061.0;79241.0;36389.0;29237.0;100.0;58938.0;76409.0;89125.0;96061.0;79241.0;36389.0;29237.0;114.913545455;0.0;27998.197219909;152.991513157;-11.696129553;999992.454545455;32371.090909091;-6660.272727273;17170.193496364;2951.483038091;26.778191786;999987.909090909;-565699.090909091;-285950.636363636;364.361972302216;-6.968912301;302.4064431588916;-7.420428617;0.0;0.0;22.323363636;1.644909091;0.0;0.608440333;0.0;1.0;0.0;32371.090909091;-6660.272727273;152.991513157;-11.696129553;-565699.090909091;-285950.636363636;2951.483038091;26.778191786;166.446156811;-6.968912301;147.74610821;-7.420428617;0.0;0.0;153.89712859452058;-11.62622437448645;2951.658003729081;-153.18422961448022;153.89712859452058;-11.62622437448645;2951.658003729081;-153.18422961448022;47.92346758;242.7136614;62.5106;75.876;63.5283;59.3523;1.79054;86520.2;482.467994849;449.762348493
2021-12-14 15:57:30;100.0;58938.0;76409.0;89125.0;96061.0;79241.0;36389.0;29237.0;100.0;58938.0;76409.0;89125.0;96061.0;79241.0;36389.0;29237.0;115.418181818;0.0;27998.269979;168.102158123;-10.760091126;999990.0;36042.272727273;-6904.272727273;17170.229876;2951.908479273;26.974399099;999986.0;-564782.727272727;-287611.727272727;364.42749267126527;-6.946220001;303.7664095056281;-7.526928182;0.0;0.0;22.321424243;1.647151515;0.0;0.369839667;0.0;0.363636364;0.636363636;36042.272727273;-6904.272727273;168.102158123;-10.760091126;-564782.727272727;-287611.727272727;2951.908479273;26.974399099;166.476087524;-6.946220001;148.410544235;-7.526928182;0.0;0.0;170.88655206764508;-10.844232468232923;2951.352402878575;-153.0128429685098;170.88655206764508;-10.844232468232923;2951.352402878575;-153.0128429685098;47.92346758;242.7136614;62.5106;75.876;63.5283;59.3523;1.79054;86520.2;444.039925701;436.061244561
2021-12-14 15:57:40;100.0;58938.0;76409.0;89125.0;96061.0;79241.0;36389.0;29237.0;100.0;58938.0;76409.0;89125.0;96061.0;79241.0;36389.0;29237.0;115.241;0.0;27998.269979;175.203342458;-10.406792506;999990.0;37198.454545455;-6949.090909091;17170.229876;2951.692641273;26.962468868;999986.0;-565062.363636364;-287173.636363636;365.80658004338983;-6.901359302;304.0643465253842;-7.534085183;0.0;0.0;22.327454546;1.642333333;0.0;0.170471333;0.0;0.0;1.0;37198.454545455;-6949.090909091;175.203342458;-10.406792506;-565062.363636364;-287173.636363636;2951.692641273;26.962468868;167.106075861;-6.901359302;148.556106726;-7.534085183;0.0;0.0;176.21541643025787;-10.581529954930952;2951.588007661115;-153.05960196058064;176.21541643025787;-10.581529954930952;2951.588007661115;-153.05960196058064;47.92346758;242.7136614;62.5106;75.876;63.5283;59.3523;1.79054;86520.2;426.730069175;436.598078045
2021-12-14 15:57:50;100.0;58938.0;76409.0;89125.0;96061.0;79241.0;36389.0;29237.0;100.0;58938.0;76409.0;89125.0;96061.0;79241.0;36389.0;29237.0;115.478909091;0.0;27998.269979;176.532263258;-11.201881137;999990.0;37150.818181818;-7412.363636364;17170.229876;2951.439322091;26.952820419;999986.0;-564683.454545455;-287417.545454546;367.26264325892834;-6.825572691;304.0643465253842;-7.534085183;0.0;0.0;22.310181818;1.630151515;0.0;0.170224667;0.0;0.0;1.0;37150.818181818;-7412.363636364;176.532263258;-11.201881137;-564683.454545455;-287417.545454546;2951.439322091;26.952820419;167.771227948;-6.825572691;148.556106726;-7.534085183;0.0;0.0;176.40675662447399;-11.283533873767832;2950.5301952787463;-153.0244163928624;176.40675662447399;-11.283533873767832;2950.5301952787463;-153.0244163928624;47.92346758;242.7136614;62.5106;75.876;63.5283;59.3523;1.79054;86520.2;448.442016759;425.389812621
2021-12-14 15:58:00;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;116.297;0.0;27998.269979;168.563793207;-11.153093772;999990.0;34714.727272727;-6794.454545455;17170.225328545;2952.133722273;27.097455793;999986.545454545;-564111.818181818;-289002.090909091;368.89426779003406;-6.862581246;304.2069495783325;-7.538100257;0.0;0.0;22.329363636;1.63830303;0.0;0.376746333;0.0;0.545454545;0.454545455;34714.727272727;-6794.454545455;168.563793207;-11.153093772;-564111.818181818;-289002.090909091;2952.133722273;27.097455793;168.516579146;-6.862581246;148.625778013;-7.538100257;0.0;0.0;164.72019522422903;-11.074085482142918;2951.515201320242;-152.87332459103774;164.72019522422903;-11.074085482142918;2951.515201320242;-152.87332459103774;47.92346758;242.7136614;62.5106;75.876;63.5283;59.3523;1.79054;86520.2;409.264113062;410.368373019
2021-12-14 15:58:10;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;116.527272727;0.0;27998.205951;152.721286726;-11.841023244;999992.3;31887.6;-6596.3;17170.1918592;2948.2553042;26.82544509;999988.1;-565324.1;-285690.7;369.16371145688174;-6.870511638;304.90528797078326;-7.56404765;0.0;0.0;22.314666667;1.6442;0.0;0.6115175;0.0;1.0;0.0;31887.6;-6596.3;152.721286726;-11.841023244;-565324.1;-285690.7;2948.2553042;26.82544509;168.63966516;-6.870511638;148.966963798;-7.56404765;0.0;0.0;151.6319434993363;-11.687414394180012;2949.5535628944285;-153.1899116998695;151.6319434993363;-11.687414394180012;2949.5535628944285;-153.1899116998695;47.92346758;242.7136614;62.5106;75.876;63.5283;59.3523;1.79054;86520.2;398.414043479;418.574925307
2021-12-14 15:58:20;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;116.6716;0.0;27998.271798545;153.643994649;-11.146100055;999989.0;32274.454545455;-6490.181818182;17170.23988;2952.268534091;26.927441215;999986.0;-565397.363636364;-287151.272727273;369.16371145688174;-6.870511638;305.1878023714803;-7.62385475;0.0;0.0;22.315272727;1.631545455;0.0;0.608798;0.0;1.0;0.0;32274.454545455;-6490.181818182;153.643994649;-11.146100055;-565397.363636364;-287151.272727273;2952.268534091;26.927441215;168.63966516;-6.870511638;149.104991291;-7.62385475;0.0;0.0;153.29827558574968;-11.370160933290599;2952.931609677974;-153.07511662489065;153.29827558574968;-11.370160933290599;2952.931609677974;-153.07511662489065;47.92346758;242.7136614;62.5106;75.876;63.5283;59.3523;1.79054;86520.2;429.63706745;429.541594258
2021-12-14 15:58:30;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;116.656;0.0;27998.279984;166.425918426;-11.605679134;999989.0;35442.090909091;-7158.090909091;17170.23988;2950.686449364;26.838794736;999986.0;-565292.545454545;-286195.272727273;369.33438599532974;-6.874778972;306.0619621044458;-7.678050449;0.0;0.0;22.313818182;1.643030303;0.0;0.409799667;0.0;0.454545455;0.545454545;35442.090909091;-7158.090909091;166.425918426;-11.605679134;-565292.545454545;-286195.272727273;2950.686449364;26.838794736;168.717631916;-6.874778972;149.532077755;-7.678050449;0.0;0.0;168.3724630645763;-11.418192493628808;2950.482964536776;-153.14790218469574;168.3724630645763;-11.418192493628808;2950.482964536776;-153.14790218469574;50.15283529;246.9723133;62.2266;75.5808;63.31;59.3523;1.78941;90778.0;447.998061119;424.915732558
2021-12-14 15:58:40;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;117.063818182;0.0;27998.279984;176.857506617;-11.154203847;999989.0;37344.727272727;-7483.727272727;17170.23988;2949.319310545;26.793843468;999986.0;-565456.090909091;-285263.181818182;370.16070219550363;-6.911921927;306.1765323712316;-7.683897462;0.0;0.0;22.320212121;1.629848485;0.0;0.170644;0.0;0.0;1.0;37344.727272727;-7483.727272727;176.857506617;-11.154203847;-565456.090909091;-285263.181818182;2949.319310545;26.793843468;169.095105874;-6.911921927;149.58805312;-7.683897462;0.0;0.0;177.35734735550545;-11.33173740815323;2949.2049260311032;-153.22981604454853;177.35734735550545;-11.33173740815323;2949.2049260311032;-153.22981604454853;50.15283529;246.9723133;62.2266;75.5808;63.31;59.3523;1.78941;90778.0;413.823584781;425.869789822
2021-12-14 15:58:50;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;100.0;59140.0;76447.0;89441.0;96293.0;79577.0;36752.0;29470.0;117.508909091;0.0;27998.316281273;176.576321868;-11.346223787;999987.909090909;37154.0;-7563.272727273;17170.267164727;2950.833623545;26.736830595;999984.090909091;-565807.636363636;-285446.818181818;371.1163640704848;-7.005603171;306.1765323712316;-7.683897462;0.0;0.0;22.319727273;1.629060606;0.0;0.170385;0.0;0.0;1.0;37154.0;-7563.272727273;176.576321868;-11.346223787;-565807.636363636;-285446.818181818;2950.833623545;26.736830595;169.531666927;-7.005603171;149.58805312;-7.683897462;0.0;0.0;176.56011861080378;-11.506228185819037;2951.0516416368027;-153.22930851597437;176.56011861080378;-11.506228185819037;2951.0516416368027;-153.22930851597437;50.15283529;246.9723133;62.2266;75.5808;63.31;59.3523;1.78941;90778.0;441.688691055;427.86848811
