end;AE33_BB;AE33_BC1;AE33_BC2;AE33_BC3;AE33_BC4;AE33_BC5;AE33_BC6;AE33_BC7;AE33_BB_VH;AE33_BC1_VH;AE33_BC2_VH;AE33_BC3_VH;AE33_BC4_VH;AE33_BC5_VH;AE33_BC6_VH;AE33_BC7_VH;PMS1_Concentration_ug_per_m3;ComPAS_V4_BKG_Meas_Active;ComPAS_V4_Frequency_1_Hz;ComPAS_V4_Amplitude_1_uPa;ComPAS_V4_Phase_1_deg;ComPAS_V4_Integration_Time_1_us;ComPAS_V4_X1;ComPAS_V4_Y1;ComPAS_V4_Frequency_2_Hz;ComPAS_V4_Amplitude_2_uPa;ComPAS_V4_Phase_2_deg;ComPAS_V4_Integration_Time_2_us;ComPAS_V4_X2;ComPAS_V4_Y2;ComPAS_V4_Blue_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Blue_P_Mov_Avg_deg;ComPAS_V4_Green_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Green_P_Mov_Avg_deg;ComPAS_V4_Red_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Red_P_Mov_Avg_deg;ComPAS_V4_T_Mean_C;ComPAS_V4_R_H_Mean_percent;ComPAS_V4_Pressure_Mean_bar;ComPAS_V4_PD1_Mean_V;ComPAS_V4_Laser_Red_On_per_Off;ComPAS_V4_Laser_Green_On_per_Off;ComPAS_V4_Laser_Blue_On_per_Off;ComPAS_V4_X1_VH;ComPAS_V4_Y1_VH;ComPAS_V4_Amplitude_1_VH_uPa;ComPAS_V4_Phase_1_VH_deg;ComPAS_V4_X2_VH;ComPAS_V4_Y2_VH;ComPAS_V4_Amplitude_2_VH_uPa;ComPAS_V4_Phase_2_VH_deg;ComPAS_V4_Blue_A_Mov_Avg_VH_uPa;ComPAS_V4_Blue_P_Mov_Avg_VH_deg;ComPAS_V4_Green_A_Mov_Avg_VH_uPa;ComPAS_V4_Green_P_Mov_Avg_VH_deg;ComPAS_V4_Red_A_Mov_Avg_VH_uPa;ComPAS_V4_Red_P_Mov_Avg_VH_deg;ComPAS_V4_R1_uPa;ComPAS_V4_Theta1_deg;ComPAS_V4_R2_uPa;ComPAS_V4_Theta2_deg;ComPAS_V4_R1_VH_uPa;ComPAS_V4_Theta1_VH_deg;ComPAS_V4_R2_VH_uPa;ComPAS_V4_Theta2_VH_deg;SMPS3080_Export_SMPS_Mass_conc_ug_per_m3;SMPS3080_Export_Mass_Equivalent_diameter_nm;SMPS3080_Export_Median_nm;SMPS3080_Export_Mean_nm;SMPS3080_Export_Geo_Mean_nm;SMPS3080_Export_Mode_nm;SMPS3080_Export_Geo_Std_Dev;SMPS3080_Export_Total_Conc_1_per_cm3;MSPTI_Metas_Export_MEDIAN_Babs_1_per_Mm;MSPTI_Metas_Export_MEAN_Babs_1_per_Mm
2021-12-14 10:02:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;22080.999952;7.797589458;-5.259962478;1000000.0;146.935483871;-4.677419355;22080.999952;6.377456848;48.958548573;1000000.0;43.032258065;4.419354839;0.0;0.0;0.0;0.0;0.0;0.0;18.67355914;17.104569892;0.0;0.0;0.0;0.0;0.0;146.935483871;-4.677419355;7.797589458;-5.259962478;43.032258065;4.419354839;6.377456848;48.958548573;0.0;0.0;0.0;0.0;0.0;0.0;0.68456825575249;-1.8232894555560573;0.20143852442726823;5.863642270156958;0.68456825575249;-1.8232894555560573;0.20143852442726823;5.863642270156958;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;22080.999952;8.19141297;14.433269198;1000000.0;-47.709677419;-24.419354839;22080.999952;6.309996463;48.316683732;1000000.0;68.903225806;-22.64516129;0.0;0.0;0.0;0.0;0.0;0.0;18.697677419;17.165935484;0.0;0.0;0.0;0.0;0.0;-47.709677419;-24.419354839;8.19141297;14.433269198;68.903225806;-22.64516129;6.309996463;48.316683732;0.0;0.0;0.0;0.0;0.0;0.0;0.24957525854856666;-152.89516606223884;0.3377395397667721;-18.193195913523212;0.24957525854856666;-152.89516606223884;0.3377395397667721;-18.193195913523212;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:03:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;22080.999952;6.752057256;15.306129913;1000000.0;40.096774194;-90.935483871;22080.999952;5.962064785;50.382741488;1000000.0;-55.580645161;25.806451613;0.0;0.0;0.0;0.0;0.0;0.0;18.718989247;17.262763441;0.0;0.0;0.0;0.0;0.0;40.096774194;-90.935483871;6.752057256;15.306129913;-55.580645161;25.806451613;5.962064785;50.382741488;0.0;0.0;0.0;0.0;0.0;0.0;0.4627889264948252;-66.20556658176551;0.28535505829792596;155.09425418162203;0.4627889264948252;-66.20556658176551;0.28535505829792596;155.09425418162203;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;22080.999952;8.294946902;14.819658462;1000000.0;74.0;-45.620689655;22080.999952;5.995919642;59.571163554;1000000.0;-64.551724138;-35.655172414;0.0;0.0;0.0;0.0;0.0;0.0;18.724;17.314942529;0.0;0.0;0.0;0.0;0.0;74.0;-45.620689655;8.294946902;14.819658462;-64.551724138;-35.655172414;5.995919642;59.571163554;0.0;0.0;0.0;0.0;0.0;0.0;0.4048106709892719;-31.65365807954684;0.3433984870423786;-151.08591574322654;0.4048106709892719;-31.65365807954684;0.3433984870423786;-151.08591574322654;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:04:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;22080.999952;6.102062857;-12.803616631;1000000.0;-171.967741935;-6.548387097;22080.999952;5.701394584;36.391826986;1000000.0;21.64516129;25.870967742;0.0;0.0;0.0;0.0;0.0;0.0;18.747021505;17.364107527;0.0;0.0;0.0;0.0;0.0;-171.967741935;-6.548387097;6.102062857;-12.803616631;21.64516129;25.870967742;5.701394584;36.391826986;0.0;0.0;0.0;0.0;0.0;0.0;0.8013675702264305;-177.8192784900028;0.15707494347106382;50.082180677616954;0.8013675702264305;-177.8192784900028;0.15707494347106382;50.082180677616954;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;22080.999952;8.28939437;19.119779618;1000000.0;-21.096774194;-55.032258065;22080.999952;7.820490564;54.297250946;1000000.0;70.677419355;-34.483870968;0.0;0.0;0.0;0.0;0.0;0.0;18.756118279;17.402548387;0.0;0.0;0.0;0.0;0.0;-21.096774194;-55.032258065;8.28939437;19.119779618;70.677419355;-34.483870968;7.820490564;54.297250946;0.0;0.0;0.0;0.0;0.0;0.0;0.2744489000943537;-110.97446948294987;0.3662015243865687;-26.00798263428542;0.2744489000943537;-110.97446948294987;0.3662015243865687;-26.00798263428542;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:05:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;22080.999952;7.025519947;48.351573956;1000000.0;-254.64516129;230.64516129;22080.999952;6.299466928;45.784077435;1000000.0;-28.774193548;-1.483870968;0.0;0.0;0.0;0.0;0.0;0.0;18.766172043;17.446204301;0.0;0.0;0.0;0.0;0.0;-254.64516129;230.64516129;7.025519947;48.351573956;-28.774193548;-1.483870968;6.299466928;45.784077435;0.0;0.0;0.0;0.0;0.0;0.0;1.5998792866320235;137.83125217823417;0.13416832960483085;-177.04790001118516;1.5998792866320235;137.83125217823417;0.13416832960483085;-177.04790001118516;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.242032258;0.0;22080.999952;7.650353278;28.315066022;1000000.0;206.451612903;57.709677419;22080.999952;4.66603624;34.633894317;1000000.0;-64.741935484;8.193548387;0.0;0.0;0.0;0.0;0.0;0.0;18.786956989;17.50027957;0.0;0.0;0.0;0.0;0.0;206.451612903;57.709677419;7.650353278;28.315066022;-64.741935484;8.193548387;4.66603624;34.633894317;0.0;0.0;0.0;0.0;0.0;0.0;0.9982183171334866;15.617338571270421;0.30388287984506834;172.78716063672502;0.9982183171334866;15.617338571270421;0.30388287984506834;172.78716063672502;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:06:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.79583871;0.0;22080.999952;8.549244745;32.824687862;1000000.0;-252.387096774;216.258064516;22080.999952;6.723329321;61.642153803;1000000.0;-19.64516129;9.709677419;0.0;0.0;0.0;0.0;0.0;0.0;18.81216129;17.549290323;0.0;0.0;0.0;0.0;0.0;-252.387096774;216.258064516;8.549244745;32.824687862;-19.64516129;9.709677419;6.723329321;61.642153803;0.0;0.0;0.0;0.0;0.0;0.0;1.5476972661886403;139.40835598308087;0.10204361220443361;153.69898280463914;1.5476972661886403;139.40835598308087;0.10204361220443361;153.69898280463914;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.213548387;0.0;22080.999952;6.782883199;-20.903228801;1000000.0;-99.225806452;-50.290322581;22080.999952;6.605765939;45.758901489;1000000.0;-25.516129032;21.064516129;0.0;0.0;0.0;0.0;0.0;0.0;18.821688172;17.592978495;0.0;0.0;0.0;0.0;0.0;-99.225806452;-50.290322581;6.782883199;-20.903228801;-25.516129032;21.064516129;6.605765939;45.758901489;0.0;0.0;0.0;0.0;0.0;0.0;0.5180129102018193;-153.1228752989658;0.15407596161861886;140.45905614104953;0.5180129102018193;-153.1228752989658;0.15407596161861886;140.45905614104953;0;0;0;0;0;0;0;0;0;0
